Index,LBL Time (ms),LBL Moves,LBL CPU Usage,LBL Memory Used (MB),Blind Time (ms),Blind Moves,Blind CPU Usage,Blind Memory Used (MB),CFOP Time (ms),CFOP Moves,CFOP CPU Usage,CFOP Memory Used (MB)
3991,5.687952041625977,372,22.1,7015.2734375,10.976791381835938,757,1.0,7017.37109375,7.683038711547852,305,7.9,7017.359375
3992,4.000186920166016,270,5.2,7017.359375,10.000944137573242,737,2.8,7017.35546875,5.997419357299805,329,15.4,7016.9375
3993,4.999637603759766,248,13.1,7016.93359375,11.000633239746094,745,21.6,7016.171875,4.999399185180664,331,13.0,7015.93359375
3994,6.001949310302734,308,15.2,7015.81640625,11.999368667602539,765,5.0,7017.37890625,5.002737045288086,363,8.3,7017.37890625
3995,4.99725341796875,294,5.7,7017.37109375,11.003732681274414,749,4.7,7017.37109375,4.00090217590332,293,2.3,7017.22265625
3996,4.997014999389648,307,2.1,7017.22265625,11.002302169799805,749,2.1,7017.18359375,4.000186920166016,337,2.0,7016.56640625
3997,7.002115249633789,362,1.9,7016.30078125,10.97559928894043,749,1.0,7016.109375,5.890130996704102,329,1.1,7016.109375
3998,6.001710891723633,370,1.1,7016.0546875,11.001825332641602,737,2.1,7016.0546875,4.001617431640625,331,3.2,7016.0546875
3999,6.001472473144531,369,1.1,7015.7109375,11.0015869140625,745,2.1,7016.80078125,5.995273590087891,357,4.1,7016.5625
4000,6.002187728881836,322,3.9,7016.515625,9.998083114624023,737,3.0,7015.2421875,3.0024051666259766,311,0.0,7015.234375
4001,6.003856658935547,364,6.9,7014.9140625,11.001825332641602,749,3.0,7014.9140625,5.002498626708984,321,6.2,7014.9140625
4002,5.000829696655273,272,5.7,7014.6171875,11.001110076904297,749,4.0,7014.3046875,3.0012130737304688,289,5.3,7014.28125
4003,7.001638412475586,323,4.3,7016.98828125,11.0015869140625,769,5.3,7015.1015625,5.999565124511719,295,5.5,7014.625
4004,4.001617431640625,227,2.9,7014.58203125,10.997533798217773,753,10.0,7014.58203125,5.003213882446289,331,1.0,7014.58203125
4005,7.002592086791992,406,0.0,7014.3046875,12.00103759765625,745,7.3,7016.7421875,3.999471664428711,271,1.0,7016.7421875
4006,7.0018768310546875,384,3.9,7016.53515625,11.001348495483398,741,2.9,7016.4375,4.995107650756836,277,4.2,7014.98828125
4007,4.00233268737793,274,4.1,7014.96875,11.001110076904297,749,4.2,7014.96875,6.000280380249023,303,3.4,7014.953125
4008,7.00068473815918,493,2.0,7014.859375,11.002063751220703,757,0.0,7014.83203125,4.000425338745117,279,5.1,7014.83203125
4009,5.002260208129883,313,3.0,7016.875,10.99848747253418,769,1.1,7016.78125,4.001379013061523,277,6.2,7015.4375
4010,5.998849868774414,260,2.1,7015.375,9.999513626098633,745,1.0,7015.34765625,3.9997100830078125,311,2.0,7015.33984375
4011,5.997419357299805,342,9.1,7016.56640625,10.919809341430664,749,1.2,7016.56640625,5.998373031616211,253,0.0,7016.56640625
4012,7.001161575317383,449,0.0,7016.23046875,11.001348495483398,741,4.9,7016.11328125,4.99725341796875,313,11.1,7015.96875
4013,7.001399993896484,367,8.0,7015.17578125,11.00301742553711,737,6.1,7014.9609375,4.995584487915039,353,2.8,7014.9609375
4014,5.00035285949707,336,6.9,7014.7109375,11.018991470336914,749,5.2,7014.7109375,4.002809524536133,355,5.7,7014.7109375
4015,6.001710891723633,395,2.0,7018.13671875,10.82921028137207,749,3.0,7018.02734375,4.999637603759766,305,4.3,7016.15625
4016,5.002737045288086,277,4.0,7014.6015625,12.00246810913086,749,2.1,7014.4765625,4.001140594482422,339,2.0,7014.4765625
4017,5.002498626708984,307,4.8,7016.75,10.997533798217773,741,1.0,7016.7109375,2.9990673065185547,261,1.1,7016.7109375
4018,6.001949310302734,307,6.1,7016.8359375,10.001897811889648,737,1.0,7016.6015625,4.99415397644043,365,2.0,7016.6015625
4019,5.00035285949707,269,4.9,7015.0234375,9.997844696044922,741,8.8,7015.0234375,5.001306533813477,299,6.1,7015.3359375
4020,6.00123405456543,295,12.0,7015.31640625,12.00246810913086,753,8.9,7015.18359375,4.997730255126953,297,7.5,7015.15625
4021,5.002021789550781,238,5.1,7017.51953125,11.002540588378906,741,0.0,7017.56640625,4.9991607666015625,313,0.0,7017.5390625
4022,6.001710891723633,381,0.9,7017.13671875,11.001110076904297,757,4.4,7016.1875,5.00035285949707,335,5.2,7016.1875
4023,6.002187728881836,334,6.6,7017.51953125,11.002063751220703,757,5.7,7016.34765625,4.994630813598633,387,4.6,7016.03515625
4024,7.001638412475586,333,4.0,7016.67578125,11.002779006958008,741,3.7,7016.63671875,4.997730255126953,315,6.1,7016.63671875
4025,7.000923156738281,363,4.1,7016.3984375,10.997772216796875,757,5.1,7014.921875,6.999731063842773,325,1.1,7014.921875
4026,6.003141403198242,329,1.1,7014.921875,9.99760627746582,741,2.0,7014.73828125,5.000114440917969,317,0.0,7014.734375
4027,6.002187728881836,302,3.9,7016.9140625,11.002779006958008,757,0.0,7016.76953125,6.000518798828125,361,1.1,7016.421875
4028,5.997657775878906,362,1.1,7016.37890625,11.0015869140625,745,3.1,7014.921875,5.000591278076172,335,2.1,7014.921875
4029,6.00123405456543,431,1.9,7016.58984375,11.003255844116211,745,2.0,7016.58984375,4.001855850219727,339,1.0,7016.0703125
4030,5.997419357299805,348,1.1,7016.21484375,11.002063751220703,757,0.0,7016.08203125,6.000757217407227,337,2.1,7016.06640625
4031,5.002021789550781,298,6.4,7016.06640625,11.011362075805664,737,3.6,7014.96875,3.9987564086914062,305,3.5,7014.54296875
4032,6.995916366577148,437,0.9,7014.1484375,12.001514434814453,749,2.1,7014.1484375,4.000425338745117,275,4.4,7016.4921875
4033,7.999181747436523,402,5.0,7016.4921875,11.003732681274414,773,5.6,7016.01171875,5.002021789550781,303,2.1,7015.9140625
4034,5.99980354309082,292,5.2,7015.8984375,11.001110076904297,749,11.1,7015.859375,5.999326705932617,339,7.5,7014.4609375
4035,7.002353668212891,374,4.2,7016.265625,11.00301742553711,745,0.0,7016.265625,4.000663757324219,269,5.7,7016.1953125
4036,7.000923156738281,371,4.9,7016.15234375,10.997533798217773,749,4.2,7016.27734375,3.0024051666259766,277,1.1,7016.27734375
4037,7.003545761108398,413,3.4,7016.27734375,11.002063751220703,741,4.1,7016.27734375,5.001306533813477,293,2.9,7014.30859375
4038,5.99980354309082,369,1.0,7014.30859375,11.002302169799805,737,2.2,7014.30859375,3.002643585205078,335,1.0,7016.3671875
